column_name	sample_values_truncated
X	Cyclo-cross│Elite│Cycle│Cycle│Collins,CO,48:09.3,First│Giant│CLIF
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
name	Balu shahi│Boondi│Gajar ka halwa│Ghevar│Gulab jamun│Imarti│Jalebi│Kaju katli
TEAM_CITY	Washington│Washington│Washington│Washington│Washington│Washington│Washington│Washington
Cup	Cross│BLACKSTAR│Springs,CA,3:16:09.92,BEAR│CHINA,San│Cross
note	 │ │ Humboldtina bonplandi
interaction_type	PickedUp│LeftGate│RightGate│LeftGate│RightGate│RightGate│RightGate│LeftGate
Wind Direction	Calm│Calm│ENE│Calm│Calm│ENE│East│East
TT	Velo│Springs,CO,28:17.8,Cafe
patterns_u	Not significant│Not significant│Not significant│Not significant│Not significant│Not significant│Not significant│Not significant
Region	NV│NV│NV│NV│NV│NV│NV│NV
Wind Direction	SSW│SSW│SW│SW│SW│SW│SW│SW
OrganisationLabel	Cannock Chase Council │Cannock Chase Council │Cannock Chase Council │Cannock Chase Council │Cannock Chase Council │Cannock Chase Council │Cannock Chase Council │Cannock Chase Council 
Provider State	DC│DC│DC│DC│DC│DC│DC│DC
Wind Direction	NNW│WNW│NW│NW│West│West│NW│NW
county	County of Hawaii│County of Hawaii│County of Hawaii│County of Hawaii│County of Hawaii│County of Hawaii│County of Hawaii│County of Hawaii
Departments	Water Authority│PWD│KSEB│Water Authority│Water Authority│Water Authority│PWD│KSRTC
Events	Snow│Snow│Snow│Snow
Wind Direction	Calm│Calm│Calm│Calm│Calm│NE│ENE│ENE
VA/CA	VA/CA│VA/NM│VA/NM│VA/CA
Namespace	Cadenza│Cadenza.Collections│Cadenza
Method	Main│Main│Main│Main
Wind Direction	Calm│West│NW│NW│Calm│Calm│West│WSW
interaction_type	PickedUp│LeftGate│LeftGate│RightGate│LeftGate│LeftGate│RightGate│RightGate
Unnamed: 2	PRO
.bss_flags	WA│WA│WA
groupingname	Grouping-1│Grouping-2│Grouping-3│Grouping-3│Grouping-2
Wind Direction	South│South│South│South│South│South│South│South
venue_state	IN│GA│GA│IN│KY│IN│CA
School Location	Alaska│California│California│California│Connecticut│Connecticut│Connecticut│Georgia
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
Wind Direction	South│Calm│Calm│Calm│Calm│Calm│SW│SW
interaction_type	PickedUp│PickedUp│LeftGate│LeftGate│RightGate│RightGate│LeftGate│LeftGate
GEO.display-label	Geography│United States│North Carolina│Durham County, North Carolina│Forsyth County, North Carolina│Guilford County, North Carolina
Home	Changchester│West Tammyfort│Hullport│Howardborough│West Donald│New Laurenside│West Corey│Port Gabriellafort
If the media is associated with other sections, distinct from it's primary instance, please note them here as you did for the initial placement, with document title and text references. If there is more than one association, separate them with semicolons.	Associations
Wind Direction	Calm│Calm│South│SW│WSW│WSW│WSW│WSW
Data provider	Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal
Wind Direction	Calm│Calm│Calm│Calm│Calm│WNW│NW│NE
Wind Direction	SSW│South│SSW│SW│WSW│Calm│Calm│Calm
County	CROOK│BLAINE│CROOK│County│SEMINOLE│HOUSTON│BERKS│BALTIMORE
reservoir	Lake Coeur D'Alene│Lake Pend Oreille│Priest Lake│Dworshak│Magic│Blackfoot│Oakley│Salmon Falls
TEAM_CITY	Memphis│Memphis│Memphis│Memphis│Memphis│Memphis│Memphis│Memphis
Wind Direction	ESE│ESE│ESE│ESE│ESE│ESE│ESE│ESE
Source	Mayo Clinic│Mayo Clinic│Mayo Clinic│Mayo Clinic│NBME│NBME
Wind Direction	SSW│SSW│SW│SW│SW│SW│SW│SW
__index_level_15__	DIRECTION
region_code_filter	aquitaine│aquitaine│aquitaine│aquitaine│aquitaine│aquitaine│aquitaine│aquitaine
County	Clark│Humboldt│Clark│Mineral│Clark│Washoe│Pershing│Clark
Tamil (India)(ta-IN)	இப்பகுதியில் கொஞ்சம் பாங்குகள் அல்லது விவரங்களைத் தேடுங்கள்│AR தொடங்குகிறது│இங்கே இருட்டாக இருக்கிறது. வெளிச்சம் உள்ள இடத்திற்குச் செல்லுங்க│மெதுவாக நகர முயற்சிக்கவும்│கண்காணிப்பு தொடங்க காத்திருக்கவும்│AR அம்சம் ஆதரிக்கப்படவில்லை│ கண்காணிக்க ஒரு உடலைக் கண்டுபிடிக்கவும்│கண்காணிக்க ஒரு முகத்தைக் கண்டறியவும்
topic_description	HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS│HOBBIES_AND_CRAFTS
__index_level_2__	County│BRISTOL│WASHINGTON│WASHINGTON│KENT│KENT│PROVIDENCE│KENT
mudel	Terrano│Terrano│Terrano│Terrano
of	Cross│Chico│Leandro,CA,1:40:27,Cannondale│Valley,CA,1:42:39,Team│Sport
term	Winter│Winter│Winter│Winter│Winter│Winter│Winter│Winter
category	Household│Household│Household│Household│Household│Household│Observation│Observation
County	Washington│Cumberland│Somerset│Kennebec│Cumberland│Oxford│Hancock│York
TEAM_CITY	Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn
DeviceId	FARMLTC│FARMLTC│FARMLTC│FARMLTC│FARMLTC│FARMLTC│FARMLTC│FARMLTC
CARD	SURVEY
origin_cf_job	unskilled - resident│unskilled - resident
geocoverage	European Union│European Union│European Union
Comment	 Name of the mission
Mountain	Country│Cycles
seq_TM-tmhmm	O│O│O│O│O│O│O│O
School Location	CANADA│CANADA│CHINA│Connecticut│Georgia│Maine│Maryland│Maryland
location_code_filter	montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG
như	tôi│mình│mà│ông│là│cho│trên│là
Events	Fog│Fog│Fog│Fog│Fog│Fog│Fog│Fog
alecm122|34279|Grancrest	Asuka│Series|6|6|1|Low│Aoshi|5|24|2|Low│Aoshi:│Shirayuki-hime|5|12|2|Low│Kanojo|5|25|2|Low
Target Type	State│State│State│State│State│State│State│State
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
location_name_filter	Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia│Virovitica-Podravina County, Croatia
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
customerState	Louisiana│Virginia│Ohio│Indiana│SouthDakota│Texas│Massachusetts│Idaho
__index_level_29__	total)│of│of│people)
would	it's│in│Or│the
Wind Direction	Variable│NNE│Calm│North│Calm│Calm│Calm│Calm
|Army	Hall│Barbarians│and│Rhinoceros│1.3
topic_description	AIR_POLLUTION│AIR_POLLUTION│AIR_POLLUTION│AIR_POLLUTION│AIR_POLLUTION│AIR_POLLUTION│AIR_POLLUTION│AIR_POLLUTION
folder_owner_addrprovince	TX│TX│TX│TX│TX│TX│TX│TX
NMSPC_CD	KC-NEGOTIATION│KC-SYS│KC-SYS│KC-SYS│KC-NEGOTIATION│KC-NEGOTIATION│KC-NEGOTIATION│KC-AWARD
Region	Latin America & Caribbean│South Asia│Sub-Saharan Africa│Europe & Central Asia│Europe & Central Asia│Middle East & North Africa│Latin America & Caribbean
Dash	Race
TEAM_CITY	Dallas│Dallas│Dallas│Dallas│Dallas│Dallas│Dallas│Dallas
Event	Running│InputWindowOpen│KeyDown│KeyDown│KeySequenceStopped│InputWindowClosed│DecisionFabInput│NewPolicyMeetDesignGoals
Wind Direction	NNE│NNE│NE│NNE│North│North│North│North
was_home	New Alyssaland│Elizabethshire│Ortegafurt│South Christopherview│West Tyler│West Michael│East Denise│South Rachel
region_name_filter	Klaipėda County│Klaipėda County│Klaipėda County│Klaipėda County│Klaipėda County│Klaipėda County│Klaipėda County│Klaipėda County
Wind Direction	WSW│SW│SW│SW│SW│Calm│SW│SW
category	Asbestos, Environment, Licenses│Construction│Crime│Crime│Crime│Demographics│Drinking Water│Drinking Water
Provider State	NM│NM│NM│NM│NM│NM│NM│NM
Speaker	Sanyam Bhutani│Andrew Shaw│Sanyam Bhutani│Andrew Shaw│Sanyam Bhutani│Andrew Shaw│Sanyam Bhutani│Andrew Shaw
Wind Direction	WNW│NW│NW│NW│NW│NNW│NW│NW
name	Aberdeenshire│Angus│Argyll│Avon│Ayrshire│Banffshire│Bedfordshire│Berkshire
Wind Direction	SE│SE│SSE│SE│SSE│SE│SSE│SE
TEAM_CITY	Atlanta│Atlanta│Atlanta│Atlanta│Atlanta│Atlanta│Atlanta│Atlanta
TEAM_CITY	Utah│Utah│Utah│Utah│Utah│Utah│Utah│Utah
Sophomore	Sophomore│Sophomore│Sophomore│Sophomore│Sophomore│Junior│Graduate Student│Sophomore
lgID	AL│AL│AL│AL│AL│AL│AL│AL
County	MCCLAIN│HILL│DALLAS│DALLAS│DALLAS│ELLIS│County│ELLIS
Wind Direction	Calm│Calm│ENE│Calm│Calm│ENE│East│East
UnoControlContainerModel	UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
run4name	OXFORD ART│QADIR│ALDINI│SHARDS│CANNY HENRY│ALKAASHEF│COURT IT ALL│LOUISIANA ROUGE
__index_level_923__	coal│in
Wind Direction	SW│South│South│South│South│South│South│South
Wind Direction	ENE│Calm│Calm│Calm│Calm│West│Calm│Calm
2013 position (if different)	then a Clark County district judge
country_code_filter	LV│LV│LV│LV│LV│LV│LV│LV
interaction_type	RightGate│RightGate│LeftGate│LeftGate│RightGate│RightGate│RightGate│LeftGate
idDominio	{idDominio}│{idDominio}
ORowSet	ORowSet│ORowSet│ORowSet│ORowSet│ORowSet│ORowSet│ORowSet│ORowSet
topic_description	FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE
County	Dewey│Clay│Tripp│Davison│Faulk│Minnehaha│Edmunds│Meade
USPS	AL│AK│AZ│AR│CA│CO│CT
outcome	Grasby2020surfarea│Grasby2020surfarea│Grasby2020surfarea│Grasby2020surfarea│Grasby2020surfarea│Grasby2020surfarea│Grasby2020surfarea│Grasby2020surfarea
Jurisdiction	PROVINCE OBERÖSTERREICH│BAVARIA│BRANDENBURG│VILSANDI ISLAND│VOOREMAA│NAVARRA│HÄME PROVINCE
Unnamed: 0	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
mfr	Nabisco│Quaker Oats│Kellogs│Kellogs│Ralston Purina│General Mills│Kellogs│General Mills
Unnamed: 12	Two│Evidence of Tuberculosis│Two
-.1	from│Archers│BARBARIAN│BARBARIANS│ARCHERS│ARCHERS│BARBARIANS
OrganisationLabel	Harborough District Council│Harborough District Council│Harborough District Council│Harborough District Council│Harborough District Council│Harborough District Council│Harborough District Council│Harborough District Council
intent	negate│negate│negate│negate│negate│negate│negate│negate
Namespace	BianduiLiebiaoChajian│BianduiLiebiaoChajian│BianduiLiebiaoChajian│BianduiLiebiaoChajian│BianduiLiebiaoChajian│BianduiLiebiaoChajian│BianduiLiebiaoChajian│BianduiLiebiaoChajian
Unnamed: 0	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
TEAM_CITY	Washington│Washington│Washington│Washington│Washington│Washington│Washington│Washington
EstadoDoc	Si│Si│Si│Si│Si│Si│Si│Si
placeLocation	Athens, Greece│Athens, Greece│Athens, Greece│Ferrycarrig, Ireland│Ferrycarrig, Ireland│Berlin, Germany│Berlin, Germany│Berlin, Germany
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
ANSI	AL│AK│AZ│AR│CA│CO│CT
name	Waldemaria│argentea│pernambucensis
value	অসমীয়া│Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili
cs5Label	Other info│Other info│Other info
country_name_filter	Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus
EstadoDoc	Si│Si
interaction_type	LeftGate│LeftGate│LeftGate│RightGate│RightGate│RightGate│LeftGate│LeftGate
Language_ID	psi│pmv│pse│ma│pwc│pdh│la│ch
__index_level_9__	adventure;│environmental│in│for│adventure;│environmental│in
FolderName	Hexdump│Timing│Timing│Timing│Timing│Timing│My maps│My maps
Удалено	Удалено│Удалено
Wind Direction	SW│SSW│SSW│Calm│SSW│SW│SW│SSW
TEAM_CITY	New Orleans│New Orleans│New Orleans│New Orleans│New Orleans│New Orleans│New Orleans│New Orleans
interaction_type	Pushed│PickedUp│RightGate│LeftGate│RightGate│RightGate│LeftGate│RightGate
interaction_type	LeftGate│LeftGate│RightGate│LeftGate│LeftGate│RightGate│LeftGate│LeftGate
Name	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
nombreProducto	Tapa diseño│Tapa diseño│Tapa diseño│Tapa diseño
__index_level_1__	Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country
UnoControlContainerModel	UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel│UnoControlContainerModel
Wind Direction	North│Variable│NNE│Calm│Calm│Calm│Calm│Calm
__index_level_2__	Line│1
Wind Direction	SSE│SSE│South│South│South│South│South│South
interaction_type	Pushed│PickedUp│LeftGate│RightGate│RightGate│LeftGate│LeftGate│LeftGate
County	County│BAY│LAFAYETTE│PUTNAM│County│PLAQUEMINES│LEVY│FLAGLER
Headnote	Chronicles d'Engleterre│Troie Fragments│Scala Chronica│Apocalypse│Plinius Iunior, etc.│Sermons in French and Latin│WACE. CHRESTIEN DE TROYES. LIVES OF SAINTS. SOMME LE ROY, ETC│Medica
outcome	Beecham2014vbiany│Beecham2014vbiany│Beecham2014vbiany│Beecham2014vbiany│Beecham2014vbiany│Beecham2014vbiany│Beecham2014vbiany│Beecham2014vbiany
OrganisationLabel	Erewash Borough Council│Erewash Borough Council│Erewash Borough Council│Erewash Borough Council│Erewash Borough Council│Erewash Borough Council│Erewash Borough Council│Erewash Borough Council
place	Alabama│Alaska│Arizona│California│Colorado│Connecticut│Delaware│District of Columbia
LibraryLayout	SINGLE│SINGLE│SINGLE│SINGLE│SINGLE│SINGLE│SINGLE│SINGLE
cenario	não gamificado│não gamificado│gamificado│gamificado│gamificado│gamificado│não gamificado│não gamificado
Project	CmsData│CmsData│CmsData│CmsData│CmsData│CmsData│CmsData│CmsData
other2	stim2│na│na│na│na│na│na
TEAM_CITY	Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia
__index_level_1__	Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country
ParallelAcquisitionTechnique	GRAPPA│GRAPPA│GRAPPA
ActivityMediaSubdivisionName	activityMediaSubdivNameStewards│activityMediaSubdivNameStewards│activityMediaSubdivNameStewards│activityMediaSubdivNameNwis│activityMediaSubdivNameNwis│activityMediaSubdivNameNwis
LenderState	VA│VA│VA│VA│VA│VA│VA│VA
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
Steward	geo│geo│geo
party_type	IN│GR│CO│IN│GR│CO│IN│GR
Region	Cascadia│Cascadia│Cascadia│Cascadia│Cascadia│Cascadia│Cascadia│Cascadia
ft_genreBig	Middle-Eastern│Middle-Eastern│Asian│Middle-Eastern│Asian
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
name	Achnophora│tatei
County	Adair│Adams│Allamakee│Appanoose│Audubon│Benton│Black Hawk│Boone
DistConocida	Si│Si│Si│Si│Si│Si│Si│Si
to.2	of│IN│transaction│8│$383,000,│or│narrowed│or
Wind Direction	Calm│Calm│Calm│Calm│Calm│NNW│NNW│NNE
time_unit	ms│ms│ms│ms│ms│ms
LENORE	ALINA│LENORE│ALINA│LENORE│ALINA│LENORE│ALINA│LENORE
TYPE_2	District│District│District│District│District│District│District│District
topic_description	SOCIAL_CHANGE│SOCIAL_CHANGE│SOCIAL_CHANGE│SOCIAL_CHANGE│SOCIAL_CHANGE│SOCIAL_CHANGE│SOCIAL_CHANGE│SOCIAL_CHANGE
was_home	New Shellyland│North Sherriburgh│Sharonshire│West Vanessa│Maryshire│West Joshua│Lake Dana│West Sarah
Events	Fog│Fog│Fog
S3	GLAccountCode
value	Abkhazia│Achinese│Adangme│Adyghe│Afar│Afrihili│Afrikaans│Aghem
name	Amalago│antillana│malamiri
Wind Direction	SE│SSE│Calm│Calm│Calm│East│East│East
Wind Direction	ESE│Calm│Calm│Calm│Calm│Calm│Calm│Calm
LocationDesc	Tennessee│Montana│Alabama│North Dakota│Puerto Rico│Guam│Kansas│New York
__index_level_419__	faxed│Ross
Region	Latin America & Caribbean│South Asia│Sub-Saharan Africa│Europe & Central Asia│Europe & Central Asia│Middle East & North Africa│Latin America & Caribbean
interaction_type	Pushed│LeftGate│RightGate│RightGate│PickedUp│RightGate│RightGate│RightGate
TEAM_CITY	New York│New York│New York│New York│New York│New York│New York│LA
professional_profile	Statistics│Agriculture│Agriculture│Agriculture│Agriculture
Wind Direction	South│Calm│Calm│East│ESE│ESE│ESE│ESE
Wind	NE│NNE│NE│NNE│NE│NE│NE│NE
folder_owner_addrprovince	TX│TX│TX│TX│T│TX│TX│T
Wind Direction	NE│NE│ENE│ENE│ENE│ENE│East│East
County	SHAWANO│County│RENVILLE│FORT BEND│ISSAQUENA│HINDS│COFFEE│LANGLADE
geo_loc_name (city)	North Kelly│Carlashire│South Sandramouth│East Yesenia│Harmonshire│West Sarahfort│Vargasburgh│New Pattyview
__index_level_1__	; Seasonally adjusted at annual rates                           │Quarterly data from 1947 To 2006│Bureau of Economic Analysis│Data published September 28, 2006│File created 9/27/2006 8:43:15 AM│Line
Provider State	VT│VT│VT│VT│VT│VT│VT│VT
Wind Direction	SW│SW│SW│SW│SW│SW│WSW│WSW
__index_level_1__	Cross Country Marathon│Cross Country Marathon│Cross Country Marathon│Cross Country Marathon│Cross Country Marathon│Cross Country Marathon│Cross Country Marathon│Cross Country Marathon
Steward	geo│geo│geo
OrganisationLabel	North York Moors National Park Authority│North York Moors National Park Authority│North York Moors National Park Authority│North York Moors National Park Authority
NA	NY│NY│NY│NY
interaction_type	RightGate│RightGate│PickedUp│RightGate│LeftGate│LeftGate│RightGate│LeftGate
Wind Direction	SE│Calm│Calm│Calm│NNW│ENE│ESE│Calm
label	Glasgow City│Inverclyde│Dundee City│West Dunbartonshire│Clackmannanshire│North Ayrshire│Renfrewshire│East Ayrshire
__index_level_2__	County│KENT│KENT│SUSSEX│SUSSEX│SUSSEX│KENT│SUSSEX
Wind	W│WSW│W│W│WNW│WNW│W│W
interaction_type	RightGate│RightGate│RightGate│RightGate│RightGate│Pushed│RightGate│LeftGate
GEO.display-label	Geography│United States│North Carolina│Durham County, North Carolina│Forsyth County, North Carolina│Guilford County, North Carolina
|Town	70│and│Fair
County	New Castle│Sussex│New Castle│New Castle│Sussex│Sussex│New Castle│New Castle
ID	psi-930-1-1│pch-930-1-1│pma-930-1-1│pmv-930-1-1│cr-930-1-1│hi-930-1-1│hi-930-2-1│ma-930-1-1
name	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
Regional	Country│PB│FISHER│EXPERTS
Wind Direction	NW│NW│NNW│NNW│North│North│North│NNW
Events	Fog│Fog│Fog│Fog
Wind Direction	SSW│SSW│SSW│South│SSW│South│South│SSE
PORTFOLIO	Big_Coal│Big_Coal│Big_Coal│Big_Coal│Big_Coal│Big_Coal│Big_Gas│Big_Gas
was_home	New Michaelport│Jonesville│Port Catherine│South Leslie│Daltonberg│Pattonview│Petersonhaven│Port Brady
County	County│ANDERSON│CLEVELAND│County
value	Abchazisch│Adangme│Adygees│Afaan Oromo│Afar│Afrihili│Afrikaans│Aghem
DL State	FL│FL│FL│FL│FL│FL│FL│FL
Road	Road│Octane│Jose,CA,,Team│Rosa,CA,,Bear│Del│Mike's│Jose,CA,,SquadraSF
County	Cumberland│Oxford│York│Franklin│Cumberland│York│Cumberland│Somerset
subregion4	West│South│South│West│West│West│Northeast│South
Method	Map│Map
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Utah
team_division_pre2002	NFC West│NFC East│NFC East│NFC West│AFC Central│AFC East│NFC West│NFC Central
TEAM_CITY	Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn│Brooklyn
Wind Direction	ENE│NE│Calm│NNW│NNE│East│Calm│Calm
interaction_type	PickedUp│Pushed│LeftGate│RightGate│LeftGate│LeftGate│RightGate│LeftGate
type	NON│NON│NON│NON│NON│NON│NON│NON
StateCode	VA│VA│VA│VA│VA│VA│VA│VA
Wind Direction	Calm│Calm│Calm│NNE│NE│ENE│NNE│NE
topic_description	FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE│FAMILY_LIFE
X	Cyclo-cross│Fernando│Giant│Cycle│Springs,CO,0:59:15.00,Evol│Cycle│Cycle
EvalPeriod	(I) LastWeek│(I) LastWeek│(I) LastWeek│(I) LastWeek│(I) LastWeek│(I) LastWeek│(I) LastWeek│(I) LastWeek
Wind	NW│NW│WNW│NW│NW│NNW│NW│NW
Type	PW_Lists│PW_Lists│PW_Lists│PW_Lists│PW_Lists│PW_Lists│PW_Lists│PW_Lists
seq_TM-tmhmm	O│O│O│O│O│O│O│O
Wind Direction	NNE│NE│East│NNE│East│North│NE│ESE
Event	Running│InputWindowOpen│InputWindowClosed│DecisionAcceptAllInput│NewPolicyMeetDesignGoals│KeyDown│KeyDown│KeyDown
Wind Direction	North│North│North│North│North│North│North│North
Provider State	NM│NM│NM│NM│NM│NM│NM│NM
interaction_type	PickedUp│Pushed│Pushed│RightGate│LeftGate│RightGate│LeftGate│RightGate
jurisdiction_id	ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government│ocd-jurisdiction/country:us/state:sc/government
Wind Direction	SE│East│SE│SE│SSE│SSE│South│South
Method	JwtAuthenticationHandler│GetAuthenticationResult│GetAuthenticationResult
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
OrganisationLabel	Christchurch Borough Council│Christchurch Borough Council│Christchurch Borough Council│Christchurch Borough Council│Christchurch Borough Council│Christchurch Borough Council│Christchurch Borough Council│Christchurch Borough Council
Wind	SSW│NW│NW│NW│NW│NW│NW│NNW
DL State	FL│FL│FL│FL│FL│FL│FL│FL
Application	Blockatron│Blockatron│Blockatron│Blockatron│Blockatron│Blockatron│Application
OrganisationLabel	North East Derbyshire District Council│North East Derbyshire District Council│North East Derbyshire District Council│North East Derbyshire District Council│North East Derbyshire District Council│North East Derbyshire District Council│North East Derbyshire District Council│North East Derbyshire District Council
location_name_filter	Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland│Lower Silesian Voivodeship, Poland
Wind Direction	NE│NE│North│NNE│NE│NNE│NE│NE
Wind Direction	WSW│SW│SW│SW│SW│Calm│SW│SW
__index_level_1__	; Seasonally adjusted at annual rates                           │Quarterly data from 1947 To 2006│Bureau of Economic Analysis│Data published February 28, 2007 │File created 2/28/2007 7:38:53 AM│Line
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
Wind Direction	NNE│NNE│North│NNE│NNE│NNE│North│North
top_samp	Corrosol│Green│Green│Corrosol│Corrosol│Corrosol│Corrosol│Corrosol
Status	Operational│Operational│Operational│Operational│Operational│Operational│Operational│Operational
Wind Direction	Calm│North│Calm│Calm│Calm│Calm│Calm│Calm
Wind Direction	North│North│North│NNE│NE│NE│NE│NE
DL State	FL│FL│FL│FL│FL│FL│FL│FL
tile	NE│NE│NE│NE│NE│NE│NE│NE
Data provider	Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal
Provider State	AZ│AZ│AZ│AZ│AZ│AZ│AZ│AZ
Events	Fog│Fog│Fog│Fog│Fog│Fog│Fog│Fog
unit	per unit│MVA│MVA
TEAM_CITY	Atlanta│Atlanta│Atlanta│Atlanta│Atlanta│Atlanta│Atlanta│Atlanta
unit_title	Actuation│Actuation│Actuation│Actuation│Actuation│Actuation│Perception│Perception
-.1	from│Archers│BARBARIAN│BARBARIANS
PORTFOLIO	Big_Gas│Big_Gas│Big_Gas│Big_Gas│Big_Gas│Big_Gas│Big_Gas│Beachfront
interaction_type	PickedUp│RightGate│RightGate│RightGate│RightGate│RightGate│RightGate│RightGate
[EC7 JP Name]	None│None│マロッカ│None│None│None│None│None
Provider State	WY│WY│WY│WY│WY│WY│WY│WY
country_name_filter	Czechia│Czechia│Czechia│Czechia│Czechia│Czechia│Czechia│Czechia
Race	Men│Springs,CO,,│,CO,,Think│Grocers│Audi│Plan│Cycling
Wind Direction	Calm│SE│SE│SSE│SSE│SE│SSE│South
__index_level_1059__	in│Bao
name	Afghanistan│Afrique du Sud│Albanie│Algérie│Allemagne│Andorre│Angola│Anguilla
in	Men
Wind Direction	Calm│North│Calm│Variable│SW│Calm│Calm│SSW
group3:signs_symptoms_final_illness:id3B115	moderate│severe
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
TEAM_CITY	New Orleans│New Orleans│New Orleans│New Orleans│New Orleans│New Orleans│New Orleans│New Orleans
TEAM_CITY	Dallas│Dallas│Dallas│Dallas│Dallas│Dallas│Dallas│Dallas
Wind Direction	Calm│Calm│Calm│Calm│Calm│Calm│Calm│Calm
MAC	MAC│productionDate
dominant_object	Hand│Hand│Hand│Hand│HandToWrist│HandToWrist│Hand│Hand
COUNTY	Limestone│Denton│Wilbarger│Wheeler│Polk│Lavaca│Harris│Gillespie
Steward	geo│geo│geo
assoc_press	Ala.│Alaska│Ariz.│Ark.│Calif.│Colo.│Conn.│Del.
shrub.origin	non-native│native│non-native│native│non-native│native│non-native│ambiguous
MAC	MAC│productionDate
Name	id-ada+county│id-ada+county│id-ada+county│id-ada+county│id-ada+county│id-ada+county│id-ada+county│id-ada+county
EXAMPLE_UNITS	mV│mV│mV│mV│mV│mV│mV
country_code_filter	BE│BE│BE│BE│BE│BE│BE│BE
__index_level_1__	Cross Country│Marathon│Marathon│Marathon│Marathon│Marathon│Marathon│Marathon
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
Code	US-AL│US-AK│US-AZ│US-AR│US-CA│US-CO│US-CT│US-DE
Project	Chart│Chart│Chart│Chart│Chart│Chart│Chart│Chart
lgID	AL│NL│AL│NL│AL│NL│AL│NL
was_home	Port Lance│West Lynn│South Maria│West Sandrashire│Harrischester│Russellfort│East Timothy│North Tyler
